Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
40800,4.8997836,10.39047619047619,0.0425852594897151,0.0,0.0,-7.921707,-7.258977292832874,-7.258977292832874,11.672587,0.06855143,0.00027606063,1.0
43200,4.706477,8.415686274509804,0.05117117312058049,0.0,0.0,-7.859626,-5.102571542122785,-5.102571542122785,13.047849,0.073448114,0.00027482098,1.0
45600,4.5076165,7.184300341296928,0.05480528332086073,0.0,0.0,-7.723476,-3.8225547872712586,-3.8225547872712586,15.409696,0.06890308,0.0002735814,1.0
48000,4.3103757,6.293051359516617,0.061133259042565315,0.0,0.0,-7.568903,-2.8020319602706216,-2.8020319602706216,18.528921,0.06611516,0.00027234483,1.0
50400,4.040344,5.719101123595506,0.068415911644339,0.0,0.0,-6.8856816,-2.2018004759643857,-2.2018004759643857,18.168356,0.083687685,0.0002704953,1.0
52800,3.7819614,4.853300733496333,0.07284045254614221,0.0,0.0,-6.255849,-1.2490280061233334,-1.2490280061233334,17.254808,0.06568634,0.00026864643,1.0
55200,3.5965946,4.5813953488372094,0.07843585280193524,0.00909090909090909,0.0,-5.559257,0.214661475669506,0.214661475669506,672.8293,0.07766764,0.00026741342,1.0
57600,3.4723356,4.267108167770419,0.08137137186084245,0.0990990990990991,0.0045045045045045045,-4.8698797,0.48150028606037515,0.48150028606037515,561.51636,0.07742847,0.00026618343,1.0
60000,3.239181,3.98125,0.08475168428763195,0.10648148148148148,0.0,-4.3829117,-0.3004532644362865,-0.3004532644362865,8.142259,0.069743395,0.0002649516,1.0
62400,3.012223,3.7450592885375493,0.0880498875308187,0.12184873949579832,0.0,-3.997421,-0.03270669157797169,-0.03270669157797169,7.4173636,0.06428914,0.00026371863,1.0
64800,2.8608003,3.580952380952381,0.08972389033424254,0.11764705882352941,0.0,-3.5690405,0.1452828805259719,0.1452828805259719,5.6004763,0.05963801,0.00026186946,1.0
67200,2.7403924,3.423572744014733,0.09129960377079745,0.12916666666666668,0.0,-3.2075367,0.32396809413727257,0.32396809413727257,4.1740794,0.061725866,0.00026001723,1.0
69600,2.659062,3.3405797101449277,0.0934369404757372,0.08368200836820083,0.0,-2.868419,0.42306823238972946,0.42306823238972946,3.3205864,0.08618616,0.00025878302,1.0
72000,2.6356077,3.3435804701627485,0.09365604169789918,0.07851239669421488,0.0,-2.5720127,0.41958937032744426,0.41958937032744426,2.5466564,0.053941417,0.00025755304,1.0
74400,2.6029415,3.3176895306859207,0.09418706215947747,0.17131474103585656,0.00398406374501992,-2.314983,1.3480387028273162,1.3480387028273162,1.7990961,0.06666817,0.00025632003,1.0
76800,2.5630803,3.335740072202166,0.09330095337331296,0.26,0.0,-1.9705473,0.4293915517493706,0.4293915517493706,502.29752,0.0700401,0.00025508946,1.0
79200,2.501999,3.272727272727273,0.09616571533679961,0.096,0.0,-1.7334133,0.4978007951522256,0.4978007951522256,0.85371876,0.0627171,0.00025324023,1.0
81600,2.422553,3.2385159010600706,0.09572408492427795,0.26337448559670784,0.0,-1.5641555,0.5363812101791355,0.5363812101791355,0.54760224,0.063092716,0.00025139042,1.0
84000,2.3541193,3.181500872600349,0.09654902061995338,0.1607843137254902,0.0,-1.4193563,0.5997752576339536,0.5997752576339536,0.40006366,0.057169884,0.00025015682,1.0
86400,2.2773461,3.139655172413793,0.09723646843280548,0.16666666666666666,0.0,-1.2766918,0.6459405253382339,0.6459405253382339,0.2720569,0.05685885,0.00024892561,1.0
88800,2.2063103,3.1040955631399316,0.09820728417204208,0.06302521008403361,0.0,-1.1535962,1.5457297907935248,1.5457297907935248,0.20765446,0.07764847,0.00024769144,1.0
91200,2.1615098,3.088888888888889,0.09794871919812301,0.31196581196581197,0.0,-0.9749943,0.7012241971147527,0.7012241971147527,449.43994,0.0775839,0.00024646023,1.0
