Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
26400,5.4869785,94.375,0.008185977437634669,2.3043478260869565,0.043478260869565216,-5.2420807,-96.74837402502696,-96.74837402502696,273.91885,0.062674604,0.00028452484,1.0
28800,5.4709897,134.0,0.004920263723333311,2.176470588235294,0.058823529411764705,-5.329426,-107.90468819936116,-107.90468819936116,199.04382,0.073380075,0.0002831766,1.0
31200,5.4838047,168.53333333333333,0.0058766129387853045,2.466666666666667,0.06666666666666667,-6.175148,-159.70362106959024,-159.70362106959024,207.75815,0.0723803,0.00028166702,1.0
33600,5.493588,124.80952380952381,0.005271362262733635,2.8095238095238093,0.047619047619047616,-7.0197616,-91.37962913513184,-91.37962913513184,123.375565,0.06889183,0.00028034943,1.0
36000,5.472564,143.42857142857142,0.003702244282556841,2.076923076923077,0.0,-6.6531672,-135.10429443631853,-135.10429443631853,112.84536,0.07172975,0.00027905582,1.0
38400,5.477997,90.12,0.005966653821815271,2.5416666666666665,0.041666666666666664,-6.388062,-85.16254696846008,-85.16254696846008,174.69981,0.07074069,0.0002777916,1.0
40800,5.469569,74.02941176470588,0.00988194433563022,2.6363636363636362,0.15151515151515152,-7.7602816,-59.94449628100676,-59.94449628100676,202.04614,0.06976887,0.0002765622,1.0
43200,5.4285145,76.63333333333334,0.008218745175138887,3.9655172413793105,0.20689655172413793,-7.7868514,-51.56084736188253,-51.56084736188253,208.8838,0.07792006,0.00027526382,1.0
45600,5.4007626,49.630434782608695,0.016108713605506128,4.930232558139535,0.06976744186046512,-8.178653,-45.27851403277853,-45.27851403277853,203.05148,0.067533135,0.00027341343,1.0
48000,5.3709035,82.83333333333333,0.011933537006067732,5.333333333333333,0.1,-7.383085,-31.43710316022237,-31.43710316022237,None,None,None,1.0
50400,5.3744326,92.64285714285714,0.01911716268578958,4.481481481481482,0.07407407407407407,-7.9262466,-75.74956535441535,-75.74956535441535,105.46851,0.057043362,0.000271125,1.0
52800,5.3693027,56.861111111111114,0.025080242062412092,4.970588235294118,0.17647058823529413,-8.48183,-59.74081986480289,-59.74081986480289,167.33597,0.0735778,0.0002689365,1.0
55200,5.333667,66.97297297297297,0.029995007634473343,6.090909090909091,0.06060606060606061,-7.688652,-41.06931131747034,-41.06931131747034,149.63713,0.06717992,0.00026708702,1.0
57600,5.302585,60.55263157894737,0.02366031613533518,5.8,0.14285714285714285,-8.446196,-33.407396507263186,-33.407396507263186,112.94845,0.06918308,0.00026584082,1.0
60000,5.319079,67.11764705882354,0.02321046761894,5.107142857142857,0.0,-9.075704,-44.85872860165203,-44.85872860165203,95.33059,0.07802266,0.00026436662,1.0
62400,5.2849507,52.733333333333334,0.02126664479891228,5.627906976744186,0.06976744186046512,-8.809196,-31.59357867770725,-31.59357867770725,182.09863,0.07467926,0.00026273998,1.0
64800,5.269328,43.58490566037736,0.030877036003310387,7.408163265306122,0.12244897959183673,-8.043283,-27.21547555698539,-27.21547555698539,105.117805,0.07263983,0.00026150464,1.0
67200,5.2082253,32.74647887323944,0.03630740325206716,8.359375,0.109375,-7.130758,-15.664765893573492,-15.664765893573492,297.43228,0.059935823,0.00026019418,1.0
69600,5.150445,25.681318681318682,0.04307199835547399,9.240506329113924,0.10126582278481013,-7.0199084,-0.7511392805602525,-0.7511392805602525,215.0708,0.0608094,0.00025895642,1.0
72000,5.064198,25.247311827956988,0.04097906714450801,9.05,0.1125,-6.4577494,-3.59030403373062,-3.59030403373062,109.612236,0.07387506,0.0002576814,1.0
74400,5.023679,19.983333333333334,0.050307461016504004,10.864077669902912,0.0970873786407767,-6.203282,5.320341730117798,5.320341730117798,137.4445,0.0719504,0.0002564412,1.0
76800,4.732522,12.832335329341317,0.05179733408521078,12.38655462184874,0.15126050420168066,-5.346723,9.433150474329173,9.433150474329173,213.1984,0.065096304,0.0002545911,1.0
79200,4.8072863,11.994897959183673,0.05973245903887615,15.496598639455783,0.1564625850340136,-4.7121296,12.727280168697751,12.727280168697751,234.02509,0.07102258,0.00025273263,1.0
81600,4.6161294,11.987951807228916,0.061514539471376806,19.5,0.1532258064516129,-4.1407847,10.96183900180317,10.96183900180317,264.3538,0.06156521,0.00025150264,1.0
84000,4.38648,7.951672862453532,0.06566937681374518,23.23076923076923,0.21428571428571427,-3.599577,16.553807822301927,16.553807822301927,220.4087,0.06797469,0.000250269,1.0
